date_time,open_price,high_price,low_price,close_price,quantity
2023/08/17 02:20, 16364.00, 16364.00, 16360.00, 16361.00, 78
2023/08/17 02:21, 16362.00, 16374.00, 16361.00, 16368.00, 538
2023/08/17 02:22, 16369.00, 16375.00, 16369.00, 16372.00, 274
2023/08/17 02:23, 16370.00, 16374.00, 16370.00, 16372.00, 115
2023/08/17 02:24, 16371.00, 16372.00, 16368.00, 16370.00, 85
2023/08/17 02:25, 16371.00, 16371.00, 16365.00, 16368.00, 105
2023/08/17 02:26, 16368.00, 16370.00, 16359.00, 16361.00, 133
2023/08/17 02:27, 16361.00, 16361.00, 16355.00, 16357.00, 94
2023/08/17 02:28, 16357.00, 16363.00, 16357.00, 16362.00, 84
2023/08/17 02:29, 16362.00, 16366.00, 16361.00, 16365.00, 65
2023/08/17 02:30, 16366.00, 16369.00, 16366.00, 16366.00, 60
2023/08/17 02:31, 16366.00, 16372.00, 16366.00, 16370.00, 86
2023/08/17 02:32, 16370.00, 16380.00, 16370.00, 16373.00, 856
2023/08/17 02:33, 16373.00, 16377.00, 16369.00, 16369.00, 223
2023/08/17 02:34, 16370.00, 16376.00, 16369.00, 16374.00, 87
2023/08/17 02:35, 16375.00, 16376.00, 16373.00, 16373.00, 37
2023/08/17 02:36, 16374.00, 16378.00, 16374.00, 16374.00, 146
2023/08/17 02:37, 16375.00, 16376.00, 16373.00, 16373.00, 47
2023/08/17 02:38, 16374.00, 16378.00, 16373.00, 16373.00, 73
2023/08/17 02:39, 16372.00, 16373.00, 16371.00, 16371.00, 34
2023/08/17 02:40, 16371.00, 16373.00, 16369.00, 16372.00, 51
2023/08/17 02:41, 16372.00, 16372.00, 16370.00, 16371.00, 54
2023/08/17 02:42, 16371.00, 16372.00, 16368.00, 16369.00, 59
2023/08/17 02:43, 16368.00, 16370.00, 16364.00, 16364.00, 45
2023/08/17 02:44, 16366.00, 16366.00, 16359.00, 16363.00, 110
2023/08/17 02:45, 16362.00, 16366.00, 16362.00, 16365.00, 135
2023/08/17 02:46, 16365.00, 16367.00, 16363.00, 16367.00, 38
2023/08/17 02:47, 16366.00, 16367.00, 16364.00, 16364.00, 22
2023/08/17 02:48, 16365.00, 16365.00, 16362.00, 16362.00, 39
2023/08/17 02:49, 16362.00, 16363.00, 16357.00, 16358.00, 62
2023/08/17 02:50, 16356.00, 16356.00, 16351.00, 16352.00, 153
2023/08/17 02:51, 16352.00, 16352.00, 16345.00, 16347.00, 143
2023/08/17 02:52, 16346.00, 16349.00, 16343.00, 16349.00, 93
2023/08/17 02:53, 16347.00, 16354.00, 16345.00, 16353.00, 55
2023/08/17 02:54, 16352.00, 16355.00, 16351.00, 16355.00, 41
2023/08/17 02:55, 16355.00, 16355.00, 16348.00, 16351.00, 81
2023/08/17 02:56, 16350.00, 16352.00, 16349.00, 16351.00, 34
2023/08/17 02:57, 16351.00, 16354.00, 16351.00, 16354.00, 26
2023/08/17 02:58, 16352.00, 16353.00, 16349.00, 16353.00, 60
2023/08/17 02:59, 16354.00, 16356.00, 16349.00, 16349.00, 43
2023/08/17 03:00, 16352.00, 16355.00, 16352.00, 16354.00, 18
2023/08/17 03:01, 16354.00, 16354.00, 16343.00, 16343.00, 117
2023/08/17 03:02, 16343.00, 16344.00, 16340.00, 16344.00, 127
2023/08/17 03:03, 16343.00, 16347.00, 16342.00, 16345.00, 44
2023/08/17 03:04, 16346.00, 16348.00, 16345.00, 16348.00, 26
2023/08/17 03:05, 16346.00, 16352.00, 16346.00, 16348.00, 76
2023/08/17 03:06, 16347.00, 16347.00, 16342.00, 16343.00, 41
2023/08/17 03:07, 16343.00, 16348.00, 16342.00, 16344.00, 31
2023/08/17 03:08, 16345.00, 16345.00, 16340.00, 16340.00, 30
